,dates,long_ma_type,short_ma_type,long_window,long_to_short_ratio,rsi_bounds,z_score_centre,total_return_percent,volatility,max_drawdown,return_per_unit_risk
198,"['2022-04-01', '2022-06-30']",ema,sma,96,2,"[20, 80]",1.0,-0.32842843290340484,11.552133118724674,-20.947568951519475,-0.028430111523824138
199,"['2022-04-01', '2022-06-30']",ema,sma,96,2,"[20, 80]",0.75,0.5421291043370857,11.472153458956262,-19.230188466486002,0.04725608895284153
200,"['2022-04-01', '2022-06-30']",ema,sma,96,2,"[30, 70]",1.0,-1.1208615695173174,11.477369442271279,-21.107203594252425,-0.09765840292542748
201,"['2022-04-01', '2022-06-30']",ema,sma,96,2,"[30, 70]",0.75,0.5293751373806499,11.47452465291064,-19.137361094573745,0.04613482069136241
202,"['2022-04-01', '2022-06-30']",ema,sma,96,2,"[40, 60]",1.0,-0.2375137959738205,11.32028906376957,-19.271815732944034,-0.020981248326421287
203,"['2022-04-01', '2022-06-30']",ema,sma,96,2,"[40, 60]",0.75,1.4465625933892667,11.205714466135323,-18.697910844548467,0.12909150931526134
204,"['2022-04-01', '2022-06-30']",ema,sma,96,3,"[20, 80]",1.0,1.656108851434479,11.650133002912996,-21.230961147929737,0.14215364331208802
205,"['2022-04-01', '2022-06-30']",ema,sma,96,3,"[20, 80]",0.75,0.7278325968954391,11.57494773033897,-20.122724365340922,0.06287998994481202
206,"['2022-04-01', '2022-06-30']",ema,sma,96,3,"[30, 70]",1.0,0.9249586123039055,11.555675501459342,-21.50091436742791,0.08004366444757768
207,"['2022-04-01', '2022-06-30']",ema,sma,96,3,"[30, 70]",0.75,0.24693658190455547,11.510432994007465,-20.148875557972804,0.02145328347188286
208,"['2022-04-01', '2022-06-30']",ema,sma,96,3,"[40, 60]",1.0,2.313125880989886,11.199288555278148,-18.345563841418453,0.20654221646068094
209,"['2022-04-01', '2022-06-30']",ema,sma,96,3,"[40, 60]",0.75,2.74811712412244,11.274653700717906,-17.915278372188435,0.24374292967840383
210,"['2022-04-01', '2022-06-30']",ema,sma,96,4,"[20, 80]",1.0,1.9897556137810746,11.636669379801285,-21.097301175899553,0.17099013032327406
211,"['2022-04-01', '2022-06-30']",ema,sma,96,4,"[20, 80]",0.75,1.4026093646290816,11.554851180866715,-19.712682791930035,0.12138705576335027
212,"['2022-04-01', '2022-06-30']",ema,sma,96,4,"[30, 70]",1.0,1.93657538168448,11.464822123973347,-20.806291600517053,0.16891455975012754
213,"['2022-04-01', '2022-06-30']",ema,sma,96,4,"[30, 70]",0.75,1.5963098756682337,11.403243249097393,-19.533812382227723,0.13998735629835724
214,"['2022-04-01', '2022-06-30']",ema,sma,96,4,"[40, 60]",1.0,4.034889981885037,11.235950305978557,-18.03096407736642,0.3591053602059903
215,"['2022-04-01', '2022-06-30']",ema,sma,96,4,"[40, 60]",0.75,2.8815437788500153,11.260828352369344,-17.920655504532878,0.2558909246000292
216,"['2022-04-01', '2022-06-30']",ema,ema,60,2,"[20, 80]",1.0,4.121822214543158,11.838174216240745,-20.57943111530144,0.3481805673115071
217,"['2022-04-01', '2022-06-30']",ema,ema,60,2,"[20, 80]",0.75,3.20203886458712,11.469211104373786,-19.54998262143486,0.27918562449042567
218,"['2022-04-01', '2022-06-30']",ema,ema,60,2,"[30, 70]",1.0,3.4976553736812077,11.580649064217805,-20.219742815964416,0.3020258496985592
